# T(K), Cp(J/mol/K), Cp(J/mol/K), Cp(J/mol/K)
1.000000000000000000e+02, 3.010210223955822428e+01, 3.010210223955822428e+01, 3.010210223955822428e+01
1.009090909090909065e+02, 3.009505484428353128e+01, 3.009505484428353128e+01, 3.009505484428353128e+01
1.018181818181818130e+02, 3.008688664297070758e+01, 3.008688664297070758e+01, 3.008688664297070758e+01
1.027272727272727195e+02, 3.007769449618209023e+01, 3.007769449618209023e+01, 3.007769449618209023e+01
1.036363636363636402e+02, 3.006757055596522576e+01, 3.006757055596522576e+01, 3.006757055596522576e+01
1.045454545454545467e+02, 3.005660236313853417e+01, 3.005660236313853417e+01, 3.005660236313853417e+01
1.054545454545454533e+02, 3.004487295357086296e+01, 3.004487295357086296e+01, 3.004487295357086296e+01
1.063636363636363598e+02, 3.003246097204429432e+01, 3.003246097204429432e+01, 3.003246097204429432e+01
1.072727272727272663e+02, 3.001944079240431407e+01, 3.001944079240431407e+01, 3.001944079240431407e+01
1.081818181818181728e+02, 3.000588264281388362e+01, 3.000588264281388362e+01, 3.000588264281388362e+01
1.090909090909090935e+02, 2.999185273503042382e+01, 2.999185273503042382e+01, 2.999185273503042382e+01
1.100000000000000000e+02, 2.997741339672532135e+01, 2.997741339672532135e+01, 2.997741339672532135e+01
