# T(K), Cp(J/mol/K), Cp(J/mol/K), Cp(J/mol/K), rho(mol/m3), rho(mol/m3), rho(mol/m3)
6.545454545454545325e+01, 3.261829453101109522e+01, 4.165997056771074369e+01, 4.089011993055149219e+01, 3.972816061328868273e+03, 1.299515858651458802e+04, 2.628464422021375140e+04
6.636363636363635976e+01, 3.257818200378999052e+01, 4.119888810117541311e+01, 4.094203497191254115e+01, 3.901853585829624080e+03, 1.269457942724720670e+04, 2.590010177702730289e+04
6.727272727272728048e+01, 3.254386403906276115e+01, 4.077337189360526537e+01, 4.097077558195123004e+01, 3.833830284268810829e+03, 1.241004480391728612e+04, 2.552230318570664531e+04
6.818181818181818699e+01, 3.251420695922935522e+01, 4.037974796096259666e+01, 4.097781920616717599e+01, 3.768545040105441785e+03, 1.214025877237754139e+04, 2.515149159638701531e+04
6.909090909090909349e+01, 3.248823942313412516e+01, 4.001470384504187194e+01, 4.096475415414609955e+01, 3.705816086322193769e+03, 1.188405811487940446e+04, 2.478786715440359694e+04
7.000000000000000000e+01, 3.246512993227670307e+01, 3.967526686194602092e+01, 4.093323689139059951e+01, 3.645478619792507288e+03, 1.164039685856240067e+04, 2.443158710454903849e+04
7.090909090909090651e+01, 3.244416788910895377e+01, 3.935877790998686976e+01, 4.088495199240389866e+01, 3.587382771383425279e+03, 1.140833262707202448e+04, 2.408276683442121794e+04
7.181818181818181301e+01, 3.242474753947757193e+01, 3.906286380777252276e+01, 4.082157629258070131e+01, 3.531391870059120265e+03, 1.118701465997498599e+04, 2.374148171368374824e+04
7.272727272727271952e+01, 3.240635427566392934e+01, 3.878540992392737508e+01, 4.074474825395530075e+01, 3.477380951386521247e+03, 1.097567332144472857e+04, 2.340776956822078137e+04
7.363636363636362603e+01, 3.238855288642081121e+01, 3.852453409464776257e+01, 4.065604305620420433e+01, 3.425235470331161196e+03, 1.077361092303823716e+04, 2.308163362364443310e+04
7.454545454545454675e+01, 3.237097742478113105e+01, 3.827856234572846006e+01, 4.055695348528821853e+01, 3.374850185701005103e+03, 1.058019369717531845e+04, 2.276304575909382038e+04
7.545454545454545325e+01, 3.235332242965132110e+01, 3.804600663947529426e+01, 4.044887634448540581e+01, 3.326128189518453837e+03, 1.039484477343352228e+04, 2.245194992688710408e+04
7.636363636363635976e+01, 3.233533528799465984e+01, 3.782554468802791803e+01, 4.033310386554831695e+01, 3.278980059326774153e+03, 1.021703802630328209e+04, 2.214826561340535773e+04
7.727272727272728048e+01, 3.231680956422745510e+01, 3.761600177041854209e+01, 4.021081944702220312e+01, 3.233323115232469718e+03, 1.004629267914083721e+04, 2.185189123897083846e+04
7.818181818181818699e+01, 3.229757915486551667e+01, 3.741633443370604084e+01, 4.008309697912415714e+01, 3.189080766550006501e+03, 9.882168563978113525e+03, 2.156270741723124229e+04
7.909090909090909349e+01, 3.227751315139934718e+01, 3.722561593101222144e+01, 3.995090301235863706e+01, 3.146181935404752949e+03, 9.724261950282898397e+03, 2.128058001609379426e+04
8.000000000000000000e+01, 3.225651131430026197e+01, 3.704302323985222500e+01, 3.981510107158669598e+01, 3.104560546682414952e+03, 9.572201867634774317e+03, 2.100536298150239236e+04
8.090909090909090651e+01, 3.223450007706853881e+01, 3.686782550548041826e+01, 3.967645749150003809e+01, 3.064155075380690960e+03, 9.425646857647527213e+03, 2.073690090175584919e+04
8.181818181818181301e+01, 3.221142901217582022e+01, 3.669937376140916285e+01, 3.953564823907493775e+01, 3.024908143793963518e+03, 9.284282099444173582e+03, 2.047503130343770681e+04
8.272727272727271952e+01, 3.218726770127459957e+01, 3.653709178987101325e+01, 3.939326628267718178e+01, 2.986766162100198926e+03, 9.147816860723723948e+03, 2.021958668044293881e+04
8.363636363636362603e+01, 3.216200296065120767e+01, 3.638046799695490563e+01, 3.924982915838155861e+01, 2.949679006866540931e+03, 9.015982233097553035e+03, 1.997039626531973408e+04
